,0,1
0,641008.287856,186443.619369
1,588503.861766,143879.912072
2,608431.750462,146625.524942
3,632118.195671,173602.222125
4,617652.311289,147384.48887
5,604722.586056,159306.399167
6,609388.85331,152017.862727
7,613984.099213,158305.31901
8,634060.387809,152245.12531
9,625129.094057,153808.578773
10,601299.773785,144170.318852
11,630299.35898,175701.54195
12,623867.483581,185335.031751
13,639703.722028,161964.5028
14,597482.437421,159263.047391
15,636048.583577,171895.205164
16,623174.985341,158226.205767
17,628020.98556,152433.943194
18,593941.119334,158777.48431
19,649315.311138,169290.911895
20,631010.085479,171815.921945
21,645451.423253,183922.9811
22,646916.465851,171807.467982
23,645249.91903,173694.244688
24,621748.69825,181087.372409
25,636053.073532,164991.590574
26,623703.187669,156294.115609
27,627687.547735,161273.948392
28,624497.689445,167209.694353
29,622422.390817,146936.218101
30,639195.925583,167259.963485
31,614737.913059,155242.031466
32,614582.496274,156631.695702
33,614662.986332,156981.228992
34,602037.619082,159716.675137
35,626577.421298,171297.455885
36,614176.48905,171305.814317
37,649653.170949,169551.06361
38,632211.283655,157349.176695
39,637238.58632,160833.22936
40,613475.638206,151993.623072
41,633114.605773,160663.422738
42,586502.463081,148877.096789
43,605632.679029,161292.809165
44,628417.718494,147952.996283
45,601675.248105,149180.399984
46,594207.804866,147936.849382
47,623267.207368,166271.476564
48,624248.532024,141457.92879
49,644057.268542,174282.296724
50,613891.417627,146869.510981
51,622505.052169,157970.555171
52,595426.67237,158216.76787
53,598772.607948,152534.425848
54,638128.87756,185943.365112
55,586443.89297,151948.962588
56,601652.942872,145431.779852
57,640101.238542,158031.903493
58,642464.776067,172558.653794
59,624307.302903,141465.415165
60,634617.167822,170541.903472
61,644818.934921,169279.062149
62,612307.518289,174088.133077
63,639395.594621,163175.567561
64,619334.984734,166233.202092
65,624872.923832,146731.159649
66,636532.199265,166938.095767
67,617819.146103,150418.393559
68,587804.868929,155097.963448
69,622466.731698,181947.262324
70,625627.445121,159176.054124
71,640545.721139,157684.436234
72,613743.688951,145123.474882
73,604630.941756,157764.06053
74,622763.843064,150758.264437
75,638198.700035,178282.986446
76,636294.612309,166066.101645
77,640934.574335,172337.816546
78,646093.40406,170311.288966
79,633017.364953,173147.039126
80,621195.619855,166087.426201
81,598315.882121,159395.841196
82,623191.787279,173080.446362
83,624122.076386,171089.181053
84,607955.567423,162319.25623
85,625781.392371,143912.392649
86,611193.554127,166705.752385
87,630560.9627,185458.135922
88,593063.40201,155709.940014
